NAME	URL	HOMEPAGE	DESCRIPTION	CREATED_AT
vsoch/2-chainz	https://github.com/vsoch/2-chainz	http://juxboxhero.herokuapp.com/	🎤 An experiment in lyric generation using Markov Chains	2018-10-07T19:23:53Z
vsoch/40-avocados	https://github.com/vsoch/40-avocados	https://vsoch.github.io/40-avocados/	Many ways I could spend $40.00	2018-10-31T03:07:45Z
vsoch/AIM-Manuscript	https://github.com/vsoch/AIM-Manuscript		"This repo contains supporting documents for the manuscript ""Defining the AIM: An Abstraction for Improving Machine Learning Prediction"""	2018-02-15T10:28:23Z
vsoch/airflow	https://github.com/vsoch/airflow	https://airflow.apache.org	Apache Airflow	2019-02-28T20:25:31Z
vsoch/algorithms	https://github.com/vsoch/algorithms		hungry for some challenge and fun, so let's do that :)	2018-04-08T22:19:57Z
vsoch/alleninf	https://github.com/vsoch/alleninf		Compare a statistical map of a brain with gene expression patterns from Allen Human Brain Atlas.	2014-10-31T22:32:14Z
vsoch/artbrain	https://github.com/vsoch/artbrain		Got art on the brain?	2015-12-21T00:02:44Z
vsoch/arxiv-catalog	https://github.com/vsoch/arxiv-catalog	https://vsoch.github.io/arxiv-catalog/	Let's go shopping! Or let's not, that's a terrible idea. But how about for equations? I like that much better.	2018-11-17T22:12:21Z
vsoch/arxiv-equations	https://github.com/vsoch/arxiv-equations		looking for patterns in equation use in arxiv papers	2018-11-17T13:44:43Z
vsoch/asciinema	https://github.com/vsoch/asciinema	https://asciinema.org	Terminal session recorder 📹	2018-04-23T13:30:14Z
vsoch/asciiquarium	https://github.com/vsoch/asciiquarium		A docker container to run the beloved asciiquarium. Because you can't kill these fish.	2018-12-19T01:49:02Z
vsoch/askci	https://github.com/vsoch/askci	https://vsoch.github.io/askci	version controlled knowledge base for documentation and support	2019-11-24T01:46:55Z
vsoch/askci-term-singularity	https://github.com/vsoch/askci-term-singularity		AskCI term repository for singularity	2019-11-26T19:51:57Z
vsoch/atac-seq-pipeline	https://github.com/vsoch/atac-seq-pipeline		ENCODE ATAC-seq pipeline	2018-07-04T21:05:10Z
vsoch/authorSynth	https://github.com/vsoch/authorSynth	http://www.vbmis.com/bmi/authorSynth	produce a brain map that represents the brain spatial coverage published by a particular neuroscience author.	2014-08-16T19:28:46Z
vsoch/authorSynth-www	https://github.com/vsoch/authorSynth-www		The web interface for the authorSynth collaboration tool	2014-10-08T19:21:43Z
vsoch/avt	https://github.com/vsoch/avt		AVT is the automated version tester for post-hoc reproducible environments (under development)	2020-11-09T00:25:11Z
vsoch/awesome-actions	https://github.com/vsoch/awesome-actions		A curated list of awesome actions to use on GitHub	2018-12-04T03:54:13Z
vsoch/awesome-nextflow	https://github.com/vsoch/awesome-nextflow		A curated list of nextflow based pipelines	2020-08-23T21:31:29Z
vsoch/banner-maker	https://github.com/vsoch/banner-maker		Dynamically generate svg banner with text content (flask application)	2015-06-27T23:33:24Z
vsoch/bert-as-service	https://github.com/vsoch/bert-as-service	https://bert-as-service.readthedocs.io	Mapping a variable-length sentence to a fixed-length vector using BERT model	2019-07-21T14:49:04Z
vsoch/better-scientific-software	https://github.com/vsoch/better-scientific-software		application materials for https://bssw.io/fellowship, applying in 2018	2018-09-14T20:59:31Z
vsoch/bids-validator	https://github.com/vsoch/bids-validator	http://incf.github.io/bids-validator	Validator for the Brain Imaging Data Structure	2016-04-02T03:52:28Z
vsoch/BIDShcppipelines-debug	https://github.com/vsoch/BIDShcppipelines-debug			2018-08-13T21:14:09Z
vsoch/bison	https://github.com/vsoch/bison			2016-08-29T22:54:49Z
vsoch/bmi-courses	https://github.com/vsoch/bmi-courses		no longer in existence, the original code to deploy my little BMI courses interface	2019-04-24T19:17:04Z
vsoch/bodymap	https://github.com/vsoch/bodymap		developing interactive body visualization	2016-05-17T20:15:22Z
vsoch/bogdan	https://github.com/vsoch/bogdan	https://vsoch.github.io/bogdan/	An old website I made for Ryan Bogdan, previously in Hariri Lab at Duke	2019-05-21T20:59:13Z
vsoch/boneage	https://github.com/vsoch/boneage		A django application to demo a bone age prediction model	2017-03-15T07:22:19Z
vsoch/boxes	https://github.com/vsoch/boxes		Sarcastic, colorful quotes for when you need them. Because why not.	2018-12-02T17:40:34Z
vsoch/brain-browser	https://github.com/vsoch/brain-browser		web-based image viewer for local brain images	2015-08-29T23:41:41Z
vsoch/brain-canvas	https://github.com/vsoch/brain-canvas	http://vsoch.github.io/brain-canvas	plotting 150K values from a brain image using canvas	2015-10-01T16:27:05Z
vsoch/brain-matrix	https://github.com/vsoch/brain-matrix	http://vsoch.github.io/brain-matrix/ca.html	will you take the blue brain, or the red brain?	2015-10-01T08:30:10Z
vsoch/brainart	https://github.com/vsoch/brainart		create a mosaic of brain images to match any image template	2015-10-23T01:35:24Z
vsoch/brainbehavior	https://github.com/vsoch/brainbehavior			2015-07-29T23:42:07Z
vsoch/brainhack-nidm-report	https://github.com/vsoch/brainhack-nidm-report		nidm-api report for brainhack submission to gigascience	2015-11-24T18:38:06Z
vsoch/brainilism	https://github.com/vsoch/brainilism		Happy Holidays 2015 :)	2015-12-07T06:23:18Z
vsoch/BrainMessage	https://github.com/vsoch/BrainMessage		Write Secret Messages into fMRI to be uncovered with Independent Component Analysis (ICA)	2013-03-31T20:30:43Z
vsoch/brainmeta	https://github.com/vsoch/brainmeta		image-based meta analysis for neuroimaging	2015-01-19T21:35:17Z
vsoch/brainmeta-www	https://github.com/vsoch/brainmeta-www		cloud infrastructure for evaluating image comparison methods	2015-05-05T21:41:43Z
vsoch/brainsilouette	https://github.com/vsoch/brainsilouette	https://vsoch.github.io/brainsilouette/		2018-03-19T00:33:35Z
vsoch/brother	https://github.com/vsoch/brother		web things for brother	2017-11-07T13:38:23Z
vsoch/build-notes	https://github.com/vsoch/build-notes	https://vsoch.github.io/build-notes/	Notes and references for the BUILD sc project	2020-11-28T23:29:28Z
vsoch/builder	https://github.com/vsoch/builder	https://expfactory.github.io/builder/	complete build, test and deploy pipeline template for generating an experiment container	2018-07-22T15:32:39Z
vsoch/builder-labjs	https://github.com/vsoch/builder-labjs		drop your labjs experiments into the experiments folder, and build --> deploy !!	2018-07-15T18:15:35Z
vsoch/builders	https://github.com/vsoch/builders	https://singularityhub.github.io/builders/	these are the build scripts run by the robot builders, chosen by the user for a given build	2018-03-20T15:10:41Z
